DATE	TIME	BID	ASK	LAST	VOLUME	FLAGS
2022-06-17	18:45:44		61961			4
2022-06-17	18:45:44			61958	4	56
2022-06-17	18:45:44			61961	1	56
2022-06-17	18:45:44			61961	68	56
2022-06-17	18:45:44			61955	10	88
2022-06-17	18:45:44			61961	10	56
2022-06-17	18:45:44			61961	1	56
2022-06-17	18:45:44		61956			4
2022-06-17	18:45:44		61961			4
2022-06-17	18:45:44			61956	2	56
2022-06-17	18:45:44			61955	10	88
2022-06-17	18:45:44	61954	61955			6
2022-06-17	18:45:44	61953				2
2022-06-17	18:45:44			61955	7	88
2022-06-17	18:45:44			61955	2	56
2022-06-17	18:45:44		61961			4
2022-06-17	18:45:44			61955	11	56
2022-06-17	18:45:44			61961	9	56
2022-06-17	18:45:45			61953	1	88
2022-06-17	18:45:45		61960			4
2022-06-17	18:45:45			61960	4	56
2022-06-17	18:45:45			61961	4	56
2022-06-17	18:45:45		61961			4
2022-06-17	18:45:45		61960			4
2022-06-17	18:45:45			61960	1	56
2022-06-17	18:45:45	61952				2
2022-06-17	18:45:45			61953	1	88
2022-06-17	18:45:45			61953	2	88
2022-06-17	18:45:45			61952	2	88
2022-06-17	18:45:45	61954	61959			6
2022-06-17	18:45:46	61953				2
2022-06-17	18:45:46	61954				2
2022-06-17	18:45:46			61954	1	88
2022-06-17	18:45:46			61954	1	88
2022-06-17	18:45:46			61959	1	56
2022-06-17	18:45:47		61961			4
2022-06-17	18:45:47			61959	1	56
2022-06-17	18:45:47			61959	5	56
2022-06-17	18:45:47			61960	2	56
2022-06-17	18:45:47			61960	1	56
2022-06-17	18:45:47			61960	2	56
2022-06-17	18:45:47			61960	1	56
2022-06-17	18:45:47			61960	4	56
2022-06-17	18:45:47			61961	30	56
2022-06-17	18:45:47		61960			4
2022-06-17	18:45:47		61961			4
2022-06-17	18:45:47		61960			4
2022-06-17	18:45:47		61961			4
2022-06-17	18:45:47		61960			4
2022-06-17	18:45:47		61961			4
2022-06-17	18:45:47		61960			4
2022-06-17	18:45:47		61961			4
2022-06-17	18:45:47		61960			4
2022-06-17	18:45:47		61961			4
2022-06-17	18:45:47			61960	1	56
2022-06-17	18:45:47		61960			4
2022-06-17	18:45:47		61961			4
2022-06-17	18:45:47		61960			4
2022-06-17	18:45:47			61954	1	88
2022-06-17	18:45:47			61954	2	88
2022-06-17	18:45:47	61953				2
2022-06-17	18:45:47		61961			4
2022-06-17	18:45:47		61960			4
2022-06-17	18:45:47			61953	2	88
2022-06-17	18:45:47			61952	2	88
2022-06-17	18:45:47	61954	61959			6
2022-06-17	18:45:47	61953				2
2022-06-17	18:45:47	61955				2
2022-06-17	18:45:47	61951				2
2022-06-17	18:45:47			61955	4	88
2022-06-17	18:45:47			61954	2	88
2022-06-17	18:45:47			61953	2	88
2022-06-17	18:45:47			61952	2	88
2022-06-17	18:45:47			61952	2	88
2022-06-17	18:45:47			61951	2	88
2022-06-17	18:45:47			61951	3	88
2022-06-17	18:45:48	61952				2
2022-06-17	18:45:48	61951				2
2022-06-17	18:45:48			61952	1	88
2022-06-17	18:45:48	61952				2
2022-06-17	18:45:48			61959	1	56
2022-06-17	18:45:48			61959	1	56
2022-06-17	18:45:48			61960	1	56
2022-06-17	18:45:48	61953				2
2022-06-17	18:45:48	61930				2
2022-06-17	18:45:48			61953	2	88
2022-06-17	18:45:48			61952	1	88
2022-06-17	18:45:48			61951	1	88
2022-06-17	18:45:48			61951	2	88
2022-06-17	18:45:48			61951	2	88
2022-06-17	18:45:48			61950	50	88
2022-06-17	18:45:48			61950	1	88
2022-06-17	18:45:48			61950	1	88
2022-06-17	18:45:48			61947	2	88
2022-06-17	18:45:48			61947	1	88
2022-06-17	18:45:48			61947	5	88
2022-06-17	18:45:48			61947	1	88
2022-06-17	18:45:48			61947	1	88
2022-06-17	18:45:48			61947	2	88
2022-06-17	18:45:48			61946	2	88
2022-06-17	18:45:48			61945	2	88
2022-06-17	18:45:48			61944	38	88
2022-06-17	18:45:48			61944	2	88
2022-06-17	18:45:48			61943	1	88
